1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.214051103012268484e-01,6.548626292088349787e-01,6.541974706258245620e-01,7.270872851806884363e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.124906179496751646e-01,4.110343752725991173e-01,4.528979865269161520e-01,4.080673532682361770e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.937481156165865470e-01,8.150817083248507178e-01,7.304016079160929875e-01,7.757322505468170482e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.571528327491363397e-01,4.423589146454174337e-01,5.187300186886026898e-01,4.348188594771486004e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.651878010455630319e-01,5.818492678123164952e-01,5.768039809273928231e-01,5.939921428709302731e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.460010287636754056e-02,1.914549474800263107e-01,3.020887089734811681e-01,1.690644284856591961e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.867367732116245516e-02,2.097332854276058589e-01,3.146424484948173173e-01,1.889596266540535807e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.571528327491363397e-01,5.778406520568840632e-01,5.852522284168322209e-01,6.169780227756446189e-01
0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.571528327491363397e-01,5.833034990109663420e-01,5.712140890731367548e-01,5.511945229423685921e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.856893462440209364e-01,7.433585984739000674e-01,6.948306909392631958e-01,7.643399198855840293e-01
1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.068362888957994805e-01,6.401665917693621921e-01,6.102682118776123765e-01,6.528687930385697058e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.710063973918007685e-02,2.076902712210514368e-01,3.132392865519192382e-01,1.867358920553819357e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.313066530998550085e-01,2.780914216099544811e-01,3.615914784481053523e-01,2.633645681575018660e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.057484031533237889e-01,2.448971303015240186e-01,3.387933177030484910e-01,2.272339853039286039e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.993664494710128132e-01,3.664854513992785723e-01,4.151987662068241658e-01,3.595777328667382755e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.609023599713928498e-02,1.933902878496806255e-01,3.021161754624072104e-01,1.711709646646045746e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.849627289632897353e-01,8.088933204804150678e-01,7.395316090028566380e-01,8.623250436712783795e-01
1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,3.571528327491363397e-01,7.086241461935502972e-01,6.572855232422246674e-01,6.774068874034827603e-01
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.141396641102124021e-01,3.856724611249627843e-01,4.354791782695669466e-01,3.719274558947069376e-01
1.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000000e+00,4.556298972821683502e-01,7.114258808169335868e-01,6.592097817153271810e-01,7.218461883694958781e-01
